Rank,Country,Average Temperature,Coldest Month,Hottest Month,Variation
116,Burundi,20.68,18.9,22.6,3.7
117,Namibia,20.56,13.5,26.1,12.6
118,Israel,20.51,9.4,29.3,19.9
119,Tunisia,20.34,8.7,32.1,23.4
120,Peru,19.7,17.6,21.7,4.1
121,Cyprus,19.63,7.4,30.5,23.1
122,Malta,19.61,10.4,29.2,18.8
123,Jordan,19.42,6,29.9,23.9
124,Rwanda,19.41,17.6,20.7,3.1
125,Syrian Arab Republic,18.58,3.2,31.6,28.4
126,South Africa,18.28,9.7,24.9,15.2
127,Morocco,18.04,8.2,28.6,20.4
128,Uruguay,17.93,8.8,25.8,17
129,Iran (Islamic Republic of),17.86,-0.1,31.3,31.4
130,Turkmenistan,16.14,-6.8,32.4,39.2
131,Lebanon,16,3.5,26.4,22.9
132,Portugal,15.62,7.3,24.4,17.1
133,Argentina,14.55,5.2,22.5,17.3
134,Greece,14.24,2.2,25.6,23.4
135,Monaco,13.95,3.4,24.6,21.2
136,Spain,13.93,4.2,24.6,20.4
137,Afghanistan,13.57,-4,27.1,31.1
138,Uzbekistan,13.34,-11.6,30.6,42.2
139,Nepal,13.21,2.7,20.8,18.1
140,Azerbaijan,12.93,-5.2,27.8,33
141,Italy,12.81,1.7,24.2,22.5
142,Lesotho,12.65,4.6,19,14.4
143,Albania,12.03,-0.6,23.6,24.2
144,Bhutan,11.98,2.3,18.6,16.3
145,France,11.69,1,22.8,21.8
146,Turkey,11.66,-3.5,24.6,28.1
146,Croatia,11.66,-2.8,23.8,26.6
148,Republic of Korea,11.4,-6.7,26.5,33.2
149,Bulgaria,11.31,-4,23.8,27.8
150,Serbia,11.28,-4.8,23.9,28.7
151,Hungary,11.15,-5.2,23.9,29.1
152,Japan,11.13,-2.2,25.3,27.5
153,Belgium,10.68,-1.1,21.6,22.7
154,Republic of Moldova,10.66,-7.4,24.8,32.2
155,North Macedonia,10.64,-3.9,22.9,26.8
156,Netherlands,10.4,-1,21,22
157,Bosnia and Herzegovina,10.24,-4.2,22.6,26.8
158,New Zealand,10.11,3.6,17.3,13.7
159,Luxembourg,10.02,-2.7,22.1,24.8
160,Romania,9.86,-6.5,22.6,29.1
161,Ireland,9.67,1.8,17.2,15.4
162,Germany,9.63,-3.6,21.7,25.3
163,Slovenia,9.58,-4.1,21.7,25.8
164,Ukraine,9.25,-9.3,23.7,33
165,Montenegro,9.19,-4.8,21.6,26.4
166,Andorra,9.18,-2.1,20.6,22.7
167,United Kingdom of Great Britain and Northern Ireland,9.07,0.1,17.2,17.1
168,Poland,8.85,-6.7,21.3,28
169,Denmark,8.76,-3.9,19.7,23.6
170,Czechia,8.73,-5.8,21.2,27
171,Chile,8.71,2.7,14.1,11.4
172,Slovakia,8.34,-7.2,20.9,28.1
173,Georgia,7.67,-10.6,21.6,32.2
174,United States of America,7.63,-6.9,21.4,28.3
175,Belarus,7.5,-11.3,21.7,33
176,Lithuania,7.43,-10.6,21.2,31.8
177,Austria,7.25,-6,19.2,25.2
178,Armenia,7.15,-13.3,22.7,36
179,China,7.1,-10.5,21,31.5
180,Kazakhstan,6.91,-18,25.5,43.5
181,Latvia,6.86,-10.9,21,31.9
182,Liechtenstein,6.71,-5.7,18.4,24.1
183,Faroe Islands,6.52,1.4,12.5,11.1
184,Estonia,6.31,-12,21.1,33.1
185,Democratic People's Republic of Korea,6.19,-15.3,23.1,38.4
186,Switzerland,6.08,-6,17.7,23.7
187,Tajikistan,3.75,-14.9,17.9,32.8
188,Sweden,2.62,-12.9,17.3,30.2
189,Finland,2.52,-16.1,19.1,35.2
190,Iceland,2.31,-6,10.8,16.8
191,Kyrgyzstan,2.22,-19.3,17.5,36.8
192,Norway,1.78,-12,15.2,27.2
193,Mongolia,0.67,-25.7,20.7,46.4
194,Russian Federation,-5.16,-29.7,16.1,45.8
195,Canada,-6.36,-27.6,12.8,40.4
196,Greenland,-17.18,-30.4,-1.5,28.9
