"경기도",가평군,소계,906,51.0,0.8,49.1,0.8
"경기도",고양시,소계,2753,51.6,0.5,51.1,0.4
"경기도",고양시,덕양구,910,52.0,0.8,51.4,0.7
"경기도",고양시,일산동구,933,49.4,0.9,49.0,0.8
"경기도",고양시,일산서구,910,53.3,0.9,52.8,0.8
"경기도",과천시,소계,902,52.2,1.1,51.8,0.8
"경기도",구리시,소계,917,49.6,0.9,48.9,0.8
"경기도",김포시,소계,913,47.2,1.0,47.1,0.8
"경기도",남양주시,소계,1805,50.2,0.6,49.9,0.6
"경기도",남양주시,남양주,913,48.7,0.8,48.7,0.8
"경기도",남양주시,남양주 풍양,892,53.2,1.1,52.2,0.9
"경기도",동두천시,소계,923,58.0,1.8,56.9,1.1
"경기도",부천시,소계,2740,51.9,0.6,51.9,0.5
"경기도",부천시,소사구,912,55.0,1.0,54.9,0.8
"경기도",부천시,오정구,914,50.5,1.0,50.8,0.8
"경기도",부천시,원미구,914,50.8,1.0,50.8,0.8
"경기도",양주시,소계,909,53.8,1.0,53.5,0.9
"경기도",양평군,소계,904,55.5,0.9,54.1,1.0
"경기도",여주시,소계,902,60.2,1.0,57.3,0.9
"경기도",연천군,소계,891,52.8,1.1,50.6,1.0
"경기도",의정부시,소계,911,46.3,0.8,46.7,0.9
"경기도",이천시,소계,913,51.8,0.9,51.1,0.8
"경기도",파주시,소계,904,55.7,1.1,55.6,1.0
"경기도",포천시,소계,900,56.2,1.1,54.0,1.1
"경기도",하남시,소계,912,50.4,1.0,49.9,0.8
"경기도",광명시,소계,916,49.3,0.8,49.6,0.7
"경기도",광주시,소계,919,56.5,1.0,55.5,0.7
"경기도",군포시,소계,907,51.8,1.1,51.2,0.9
"경기도",성남시,소계,2732,50.5,0.5,50.8,0.4
"경기도",성남시,분당구,909,52.5,0.8,52.9,0.6
"경기도",성남시,수정구,916,45.1,0.8,45.2,0.7
"경기도",성남시,중원구,907,52.1,0.9,52.2,0.7
"경기도",수원시,소계,3648,52.1,0.5,51.5,0.4
"경기도",수원시,권선구,926,54.6,1.0,53.8,0.7
"경기도",수원시,영통구,909,51.8,0.8,51.6,0.8
"경기도",수원시,장안구,902,50.4,1.0,49.9,0.8
"경기도",수원시,팔달구,911,50.0,0.8,49.0,0.7
"경기도",시흥시,소계,910,50.9,0.9,50.3,0.7
